Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,0.1uF,
C7,0603,1,10uF,
J1,PH_02x06_2.54mm,1,PMOD,C124371
J2,PH_02x08_2.54mm,1,HUB75E,C7430313
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"R1, R2",0603,2,0,
R3,0603,1,10k,
SW1,SW_OS102011MS2QN1,1,OS102011MS2QN1,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
"U1, U2, U3, U4",TSSOP-20_4.4x6.5mm_P0.65mm,4,74LVC273,C456144
U5,SOT-23-3,1,APX803D-29SAG-7,C460555
U6,VSSOP-8_2.3x2mm_P0.5mm,1,SN74LVC2G86DCUR,C507252
