Designator,Mid X,Mid Y,Rotation,Layer
C1,119.0,-69.5,90.0,top
C2,109.6,-71.0,90.0,top
C3,119.0,-78.5,90.0,top
C4,109.6,-78.8,90.0,top
C5,102.775,-89.5,0.0,top
C6,103.6,-63.2,0.0,top
C7,103.0,-59.0,0.0,top
J1,110.0,-55.1,270.0,top
J2,110.0,-96.0,0.0,top
J3,117.8,-88.27,0.0,top
R1,116.2,-61.4,270.0,top
R2,107.245,-61.505,270.0,top
R3,102.6,-84.2,180.0,top
SW1,117.4,-98.0,270.0,top
TP1,117.1,-82.6,0.0,top
TP2,109.7,-73.2,0.0,top
TP3,118.4,-61.2,0.0,top
TP4,109.5,-61.5,0.0,top
U1,114.5,-68.5,180.0,top
U2,105.2,-68.5,180.0,top
U3,114.5,-77.4625,180.0,top
U4,105.2,-77.4625,180.0,top
U5,102.475,-86.9,0.0,top
U6,104.0,-61.2,0.0,top
